PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59408,20090130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090226,5.1,14.33,6.58,48897455,-0.53267,6.58,6.6,6392549,1,1,6.58,,20090130,-0.53267,-0.077324,-0.078717,-0.024042,-0.025384,-0.085657
59408,20090227,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090330,3.79,6.89,3.95,92128156,-0.399696,3.99,4,6392549,1,1,3.95,,20090227,-0.399696,-0.100212,-0.103398,-0.107667,-0.109769,-0.109931
59408,20090331,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20090116,20090327,20090306,0,,,1232,0.01,0,0,,,20090429,3.14,7.8,6.82,102251399,0.729114,6.79,6.8,6401388,1,1,6.82,,20090331,0.726582,0.08669,0.083432,0.10747,0.104391,0.085405
59408,20090430,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090528,7.05,11.02,8.93,109987926,0.309384,8.87,8.88,6400000,1,1,8.93,,20090430,0.309384,0.109359,0.107523,0.192762,0.190929,0.093925
59408,20090529,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090629,8.7,14.17,11.27,111839255,0.262038,11.28,11.29,6402966,1,1,11.27,,20090529,0.262038,0.067789,0.065139,0.10233,0.10021,0.053081
59408,20090630,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20090429,20090626,20090605,0,,,1232,0.01,0,0,,,20090730,11.21,13.72,13.2,77155623,0.172138,13.13,13.14,7920000,1,1,13.2,,20090630,0.171251,-0.003098,-0.00504,0.023921,0.021352,0.000196
59408,20090731,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090830,11.84,14.79,14.79,67362720,0.120455,14.72,14.73,8651459,1,1,14.79,,20090731,0.120455,0.081719,0.080298,0.085217,0.083763,0.074142
59408,20090831,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20090929,15.32,17.98,17.59,61028022,0.189317,17.6,17.61,8651595,1,1,17.59,,20090831,0.189317,0.031459,0.0293,0.056864,0.05531,0.03356
59408,20090930,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20090721,20090925,20090904,0,,,1232,0.01,0,0,,,20091029,16.27,17.63,16.92,37449169,-0.037521,16.89,16.88,8651595,1,1,16.92,,20090930,-0.03809,0.045222,0.043582,0.071251,0.069383,0.035723
59408,20091030,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20091129,14.58,18.59,14.58,46055672,-0.138298,14.6,14.61,8650314,1,1,14.58,,20091030,-0.138298,-0.027993,-0.02925,-0.050612,-0.051739,-0.019762
59408,20091130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20091230,14.63,16.43,15.85,31488852,0.087106,15.86,15.87,8650760,1,1,15.85,,20091130,0.087106,0.057098,0.054642,0.028444,0.026485,0.057364
59408,20091231,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20091028,20091224,20091204,0,,,1232,0.01,0,0,,,20100128,14.86,16.28,15.06,51249246,-0.049211,15.09,15.1,8650272,1,1,15.06,,20091231,-0.049842,0.028419,0.026392,0.055,0.051972,0.017771
59408,20100129,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20100225,14.77,16.93,15.18,45926354,0.007968,15.12,15.13,8659369,1,1,15.18,,20100129,0.007968,-0.037096,-0.038109,-0.011388,-0.012292,-0.036974
59408,20100226,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20100330,14.45,16.66,16.66,40837423,0.097497,16.69,16.7,10032005,1,1,16.66,,20100226,0.097497,0.034775,0.032689,0.033603,0.032232,0.028514
